"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 28 22:57:44 CLST 2023","Thu Dec 28 22:57:46 CLST 2023","2570","MiSuiteDePruebas","Test Suite Example","test.TestClass01","test.TestClass01","testExample","testExample","Esta prueba intenta iniciar sesión en el sitio web utilizando un nombre de usuario y una contraseña. Falla si ocurre algún error."
"passed","Thu Dec 28 22:57:38 CLST 2023","Thu Dec 28 22:57:41 CLST 2023","2582","MiSuiteDePruebas","Test Suite Example","test.TestClass00","test.TestClass00","testExample","testExample","Esta prueba intenta iniciar sesión en el sitio web utilizando un nombre de usuario y una contraseña. Falla si ocurre algún error."
